Part Name,Quantity,Part Description,Width,Length,Height,Volume,Area,Mass,Density,Material,Thumbnail
corrugated_sheet_05032022,2,,32,1.2,976.841,1098.353292,18353.54,8.63306,0.00786,Random this,NULL
Front_MTG_Cross_Member_01,1,,69,60,999999999,154.0304407,1547.71,1.21068,0.00786,LMAO WHY,NULL
Front_MTG_Cross_Member_02,3,,40,40,140,40.63716754,412.18,0.31941,0.00786,OKOKRev2,NULL
Side Member,1,,1140,120,60,1169.609728,7817.92,9.18144,0.00785,OkThisisrev2,NULL
Cross_Member_05,1,,60,120,729.764,744.0629975,4981,5.84834,0.00786,Steel,NULL
Diagonal_Member_02,2,,120,78.655,348.341,327.4615735,2208.18,2.57385,0.00786,Steel,NULL
End_Plate_02,4,,2,120,60,14.35707963,150.6,0.11285,0.00786,Black is the new gold,NULL
End_Plate_03,2,,40,60,2,4.757079633,51.4,0.03734,0.00785,Next Revision,NULL
Side_Member_RH_MB,1,,1141.278,120,145.802,1165.695391,7856.99,9.15071,0.00785,Next Revision Part 2,NULL
Mod_part_02,2,,40,60,687.714,254.636756,2553.77,1.9989,0.00785,Steel,NULL
Mod_part_03,1,,60,120,878.756,878.8934833,5893.29,6.9081,0.00786,Steel,NULL
Gusset_chassis,4,,5,120.4,113.651,36.46166051,166.17,0.28622,0.00785,Steel,NULL
SUSPENSION_PLATE,1,,352.062,120,60,303.8050079,2069.21,2.38791,0.00786,Steel,NULL
Gusset_chassis1.1,4,,5,93.4,84,25.43024596,116.86,0.19963,0.00785,Steel,NULL
1,2,,63,45,40,26.25475628,125.7,0.2061,0.00785,Steel,NULL
Swing_Arm_Bkt,2,,127.254,159.97,60,186.6481007,785.94,1.46519,0.00785,Steel,NULL
Copy (1) of Lower_arm_bkt_LH.1,1,,63,45,40,26.25475628,125.7,0.2061,0.00785,Steel,NULL
Copy (2) of Lower_arm_bkt_LH.1,1,,63,45,40,26.25475628,125.7,0.2061,0.00785,Steel,NULL
ST,1,,16,1009.326,112.878,84.59671907,1020.28,0.66408,0.00785,Steel,NULL
Copy (1) of ST,1,,16,987.619,112.878,83.11169649,1000.54,0.65243,0.00785,Steel,NULL
Copy (2) of ST,1,,16,965.811,112.878,81.59671491,980.47,0.64053,0.00785,Steel,NULL
Copy (3) of ST,1,,16,944.003,112.878,80.10656938,960.6,0.62884,0.00785,Steel,NULL
Copy (4) of ST,1,,16,922.195,112.878,78.61643542,940.73,0.61714,0.00785,Steel,NULL
Copy (5) of ST,1,,16,900.387,112.878,77.12630293,920.86,0.60544,0.00785,Steel,NULL
DIN_933-M8-80,12,,85.54,13,15.011,4.615424793,30.38,0.03623,0.00785,Steel,NULL
"Tuerca_M8x30_paso1,25",12,,14.186,12.598,6.5,0.561951048,6.96,0.00441,0.00785,Steel,NULL
Gusset_side_support.1.14,1,,5,40,40,5.75,30.12,0.04514,0.00785,Steel,NULL
Gusset_side_support.1.15,1,,5,40,40,5.75,30.12,0.04514,0.00785,Steel,NULL
Gusset_side_support.1.16,1,,5,40,40,5.75,30.12,0.04514,0.00785,Steel,NULL
Gusset_side_support,8,,5,40,40,5.75,30.12,0.04514,0.00785,Steel,NULL
Gusset_side_support.1.5,1,,5,40,40,5.75,30.12,0.04514,0.00785,Steel,NULL
Gusset_side_support.1.7,2,,5,40,40,5.75,30.12,0.04514,0.00785,Steel,NULL
Gusset_side_support.1.6,1,,5,40,40,5.75,30.12,0.04514,0.00785,Steel,NULL
Gusset_side_support.1.13,1,,5,40,40,5.75,30.12,0.04514,0.00785,Steel,NULL
